data_type,collector,purpose,text
UNSPECIFIED_DATA,UNSPECIFIED_ACTOR,,"As explained in the ""Disclosure of Your Information"" section above, we sometimes disclose information to unaffiliated third parties we collaborate with or that provide offers that we think may be of value to you.
We may also disclose your information to other unaffiliated third parties, including third party parties we collaborate with in connection with integration, co-marketing and certain other coordinated efforts and third parties whose offers we believe you may value."
UNSPECIFIED_DATA,advertiser,,"We may also disclose your information to advertising partners and/or social media platforms that help us identify and reach our users and similar audiences, to serve ads, and/or provide advertisements about goods and services likely to be of greater interest to you."
UNSPECIFIED_DATA,applicable researcher,,Any personal data or other information collected during a Research Session is collected directly by the applicable Researcher and is not provided to or otherwise disclosed to UI.
UNSPECIFIED_DATA,researcher post project,,"If you are a Recruit Participant and apply to or otherwise participate in a Project, your information will be made available to or disclosed to the Researcher that posted the Project."
UNSPECIFIED_DATA,social media,,"We may also disclose your information to advertising partners and/or social media platforms that help us identify and reach our users and similar audiences, to serve ads, and/or provide advertisements about goods and services likely to be of greater interest to you."
UNSPECIFIED_DATA,we,"legal, services","As explained in the ""Disclosure of Your Information"" section above, we sometimes disclose information to unaffiliated third parties we collaborate with or that provide offers that we think may be of value to you.
For example, we need to retain certain information in order to provide our Services to you.
How Long We Keep Your Information
We may also collect information at the events.
We may also disclose your information to advertising partners and/or social media platforms that help us identify and reach our users and similar audiences, to serve ads, and/or provide advertisements about goods and services likely to be of greater interest to you.
We may also disclose your information to other unaffiliated third parties, including third party parties we collaborate with in connection with integration, co-marketing and certain other coordinated efforts and third parties whose offers we believe you may value.
We retain your information for as long as necessary to carry out the purposes described above and as necessary to comply with legal requirements and obligations, resolve disputes, and enforce our agreements."
adequate transfer method,we,"legal, services","Where legally required, we will use an adequate transfer method."
browser type,technology,,"This information may include your Internet Protocol (IP address), internet service provider (ISP), operating system, browser type and settings, device identifier details, search terms and search results, location data, online browsing behavior data or clickstream data (e.g., date and time of access, referring and exit pages, pages viewed, features used, cursor movements and clicks, customer service interactions, screen recordings, and other actions you take in connection with the Services), or other usage information.
We, our service providers, and vendors may automatically collect information about how you use our Services using technologies such as cookies, web beacons, session replay software, and scripts (collectively referred to as ""cookies"" in this Privacy Policy)."
browsing / search history,technology,,"This information may include your Internet Protocol (IP address), internet service provider (ISP), operating system, browser type and settings, device identifier details, search terms and search results, location data, online browsing behavior data or clickstream data (e.g., date and time of access, referring and exit pages, pages viewed, features used, cursor movements and clicks, customer service interactions, screen recordings, and other actions you take in connection with the Services), or other usage information.
We, our service providers, and vendors may automatically collect information about how you use our Services using technologies such as cookies, web beacons, session replay software, and scripts (collectively referred to as ""cookies"" in this Privacy Policy)."
cache copy of information,we,"legal, services",We may retain cached or archived copies of your information.
content of communication you have with we,we,"legal, services",We also will receive the contents of any communications you have with us.
cookie / pixel tag,we,"legal, services, advertising, analytics","We use third-party cookies from companies like Facebook, Google, and others in order to send you personalized promotions and advertisements through these platforms.
We use third-party cookies from companies like LinkedIn, Facebook, Google, and others in order to send you personalized promotions and advertisements through these platforms.
We use third-party cookies such as Google Analytics, Mixpanel, and Clarity to gather information about website user activities.
We use third-party cookies such as Google Analytics, Mixpanel, and Microsoft Clarity to gather information about website user activities."
device identifier,technology,,"This information may include your Internet Protocol (IP address), internet service provider (ISP), operating system, browser type and settings, device identifier details, search terms and search results, location data, online browsing behavior data or clickstream data (e.g., date and time of access, referring and exit pages, pages viewed, features used, cursor movements and clicks, customer service interactions, screen recordings, and other actions you take in connection with the Services), or other usage information.
We, our service providers, and vendors may automatically collect information about how you use our Services using technologies such as cookies, web beacons, session replay software, and scripts (collectively referred to as ""cookies"" in this Privacy Policy)."
email address,we,"legal, services, advertising, analytics","For example, we retain your email address as an authentication credential (where applicable) as long as you have an account with us and an additional period of time after that for our legitimate interests and for our fraud and legal compliance purposes.
If you are a supplier, vendor, business partner, or similar business (or a representative thereof), we may collect the following personal data from you: If you contact us, we may receive information such as your name, email address, and phone number.
If you opt out of email marketing, we maintain your email on our suppression list for an extended time to comply with your request.
If you register for or attend an event or program that we host, sponsor, or attend, we may receive information such as your name, email address, phone number, and other information related to your attendance at the event or program from those who interact with or express interest in UI or our Services."
